name,star,review,response,review 
HULI RAPHAEL,1 star,,0,"Je suis la fille d’une ancienne patiente à présent , je ne donne aucune étoile, même une étoile est de trop !!! Délais de prise en charge pour une personne en situation de souffrance et délicate TROP LONG (+ de 3 mois)!!!! Personnel agressif, en particulier une certaine lisa qui a refusé de donner le dossier médical à ma maman surtout qu’elle en avait besoin pour une hospitalisation en urgence, étant donné qu’elle n’a pas eu de rendez vous dans un délai raisonnable au cabinet…  Après plusieurs coups de fils pour essayer d’expliquer l’urgence, elle a du insisté pour avoir son dossier, cette même secrétaire lisa lui donne finalement les radios soit disant sur CD. Le jour de l’hospitalisation, le chirurgien à l’hôpital, annonce à ma maman que le CD qui lui a été remis était VIERGE !!!! La standardiste a visiblement voulu mettre ma maman en difficulté et se débarrasser tout simplement d’elle, un manque de respect total, aucune empathie, envers les patients, C’est honteux !!!!! À fuir."
HULI RAPHAEL,5 stars,,0,"EXCELLENT DENTISTE que je recommande fortement !!!
J'ai trouvé ce dentiste par hasard car je m'étais cassée une dent et mon autre dentiste était en congé.
Non seulement d'avoir été prise très rapidement, le 1er contact au téléphone a été très agréable et la personne a tout fait pour trouver une place au plus vite.
Arrivée sur place, je découvre avec bonheur une équipe accueillante et humaine : des assistantes à votre écoute et un dentiste très humain, soucieux du bien être de la personne, qui prend le temps de tout vous montrer et vous expliquer.
On peut aussi noter qu'ils sont super bien équipés et surtout l'écran au dessus du fauteuil !!! J'avais jamais vu ça !
Et avec tout ça, des tarifs vraiment très corrects !
C'est un très très bon cabinet."
HULI RAPHAEL,5 stars,,0,"Conseillé par le Dr Hacmoun (Antibes), j'ai une totale confiance: j'ai retrouvé une dentition saine, propre, autrement dit AU TOP!
Un travail minutieux, le Dr huli connait son travail, et l'applique sérieusement et avec passion! C'est bon de trouver des dentistes comme lui (sans oublier son équipe, à l'image du docteur Huli).
Une équipe qui conseille et qui reste à l'écoute du patient avec sourire et humour!
Les allers retours Nancy-Strasbourg, depuis un peu plus d'un an, en valent bien la peine et je continuerai :)
Un énorme merci à vous!"
HULI RAPHAEL,4 stars,,0,"Je soufrais depuis dejà une bonne semaine quand j'ai vu le Dr HULI. Dans un premier temps  il a apporté le bon diag et le bon traitement pour me calmer la douleur. Au bout d'une semaine je ne sentais plus rien. L'infection avait disparue . Ensuite j'ai eu un rdv et un suivi de la part des assistantes. Le traitement dentaire a été réalisé avec succés et aujourd'hui je suis heureux . Le seul bemol est que l'acte ne soit pas completement remboursé par la mutuel. Cependant je ne regrette rien et je le recommande chaudement
MERCI"
HULI RAPHAEL,5 stars,,0,"Docteur HULI m'a sauvé l'esprit, tant je devenais folle de douleur... Là où un autre dentiste a Juste réduit ma douleur à de ""l'inflammation normale après un traitement de racine"" alors que je faisais un malaise .. Docteur HULI m'a trouvé deux nerfs non traités avec une infection sous-jacente qui nécessitait un travail de Maîtrise. Le tout sous microscope et radio 3D à l'appui... Verdict: c'est Un professionnel honnête et compétent ! Son équipe est adorable... Je ne peux que donner un avis positif."
HULI RAPHAEL,5 stars,,0,"Un dentiste minutieux, professionnel, serein et à l’écoute ! Une équipe souriante et dynamique ! Tout est en harmonie! En plus d’avoir les dents soignés, vous ressortez en ayant passé un agréable moment!!
Je recommande  vivement!!!"
HULI RAPHAEL,5 stars,,0,Un praticien proche de ses patients. Le cabinet est récent et on est rassuré par le professionnalisme des assistants. Plusieurs interventions à ce jour et toujours content. On notera un écran au dessus du fauteuil bien sympa. Je recommande.
HULI RAPHAEL,5 stars,,0,Excellent dentiste. Plus peur du dentiste. Une équipe au top. Des traitements adaptés et qui fonctionnent. Je recommande fortement ce dentiste. Même en habitant sur Colmar je continue à y aller. Dentiste très professionnel et rare de trouver quelqu’un d’aussi compétent.
HULI RAPHAEL,5 stars,,0,"Excellent dentiste. Très sympathique, disponible, matos high tech... Il me suit depuis plus d'un an dans le cadre d'un traitement et je n'ai rien à redire, je suis même surpris par son engagement. Je recommande sans hésiter"
HULI RAPHAEL,5 stars,,0,"Je recommande vivement ce cabinet! Le Dr Nabet est formidable, bienveillant et très professionnel il explique chaque geste avant d'intervenir et c'est très appréciable. Merci Dr Nabet!"
HULI RAPHAEL,5 stars,,0,"Très bien reçu et Dr Nabet a été très gentil et professionnel avec ma fille ( angoissée par les soins dentaires, il a gagné son confiance)"
HULI RAPHAEL,5 stars,,0,"On m'a recommandé ce Chirurgien dentiste pour une extraction de dent. Contact téléphonique très sympathique. Professionnel, avenant, délicat, rassurant. De bons conseils après extraction. Super!!"
HULI RAPHAEL,5 stars,,0,"Dentiste au top, merci à Théo pour son professionnalisme, son accueil et sa gentillesse. Moi qui fuyez les dentistes, je suis ravie d’avoir connu ce cabinet !"
HULI RAPHAEL,5 stars,,0,"Dentiste au top, toujours très patient, à l'écoute et professionnel. Nouveau cabinet moderne et facile d'accès. Je recommande sans hésiter."
HULI RAPHAEL,5 stars,,0,"Bonjour,
Vous y seriez bien acceuillit, très bien installer et très bien soigner. La secrétaire Mlle Liza est très serviable et a l'écoute, avec une très bonne gestion du patient."
HULI RAPHAEL,5 stars,,0,"Équipe au top, service au top, et le Docteur Huli en plus d’être incroyablement compétent, est d’une gentillesse extrême. Vraiment je ne peux que recommander 👌🏽 …"
HULI RAPHAEL,5 stars,,0,"Docteur huli est très professionnel et compétant, douceur, compréhension, à l'écoute des patients.... Travail de qualité et résultat garanti, il pratique des tarifs abordables
Toute son équipe est souriante est agréable"
HULI RAPHAEL,5 stars,,0,"Super dentiste!!! Équipe très sympathique très professionnelle, docteur HULI est vraiment recommandable à 100%"
HULI RAPHAEL,5 stars,,0,Une équipe à l écoute du patient et qui fait le maximum pour  votre bien être. Et pour ne rien gâcher un cabinet au top! :)
HULI RAPHAEL,1 star,,0,Standardiste très irritante aucun professionnalisme laisse c’est émotion reprendre le dessus limite je me fais insulter
HULI RAPHAEL,5 stars,,0,Un accueil exceptionnel et surtout un professionnalisme au rendez-vous. Très belle équipe
HULI RAPHAEL,5 stars,,0,Très bon conseil cabinet très confortable un chirurgien dentiste très pro.
HULI RAPHAEL,5 stars,,0,"Quel gentillesse, quel professionnalisme, je recommande vivement.. Expérience extra."
HULI RAPHAEL,5 stars,,0,Le meilleur Dentiste de tout les temps !
HULI RAPHAEL,5 stars,,0,"Super sympas, très professionnel."
HULI RAPHAEL,1 star,,0,"Compètent dans le diagnostic, incomplet dans son engagement de soins."
HULI RAPHAEL,5 stars,,0,Super dentiste !
HULI RAPHAEL,5 stars,,0,
HULI RAPHAEL,5 stars,,0,
HULI RAPHAEL,5 stars,,0,
BIRRY ALEXANDRA,5 stars,,0,"Cette dentiste est vraiment exceptionnelle ! professionnalisme, gentillesse et une approche rassurante aussi bien pour moi que pour mon fils. Ses explications claires et son approche ludique pour mettre les enfants à l’aise j’ai trouvé ça génial ! Son assistante et également très gentille aussi.
Je la recommande à tous !"
BIRRY ALEXANDRA,5 stars,,0,"Bonjour, je vous recommande la patricienne ainsi que son assistante prends le temps de vous expliquer et de prendre soin de vos dents très rare de voir sur le marché de tels professionnalisme à nos jours. MERCI!!"
BIRRY ALEXANDRA,5 stars,,0,"(J'y étais en décembre 2021. Je réécris mon avis, j'espère qu'il passera.)
Super dentiste ! Très efficace, compréhensif, sympathique et attentionné. Sa gentille assistante aussi !
Bilan dentaire complet, détartrage, radiographie et obturations dentaires se sont déroulés dans une ambiance conviviale et détendue.
Elle parle aussi anglais :)"
BIRRY ALEXANDRA,5 stars,,0,"J’ai eu l’occasion de consulter plusieurs dentistes mais je n’ai jamais trouvé un praticien avec lequel je me sentais vraiment à l’aise. Je peux dire que maintenant j’ai trouvé.. sans parler de la secrétaire/ assistante très agréable, d’une gentillesse."
BIRRY ALEXANDRA,5 stars,,0,"Excellente chirurgienne dentiste. Cabinet dernier cri, hygiène médicale très respectée. Devis clairs, et la cerise sur le gâteau : son assistante et elle-même sont très agréables."
BIRRY ALEXANDRA,5 stars,,0,"Je recommande vivement cet endroit ! Le cabinet est refait à neuf, on s’y sent à l’aise  et la décoration est chouette. La docteure est très gentille, à l’écoute et compréhensive. Cela décrit également son assistante ! :)"
BIRRY ALEXANDRA,5 stars,,0,"J'ai suivi les avis positifs en choisissant cette dentiste et j'ai bien fait.
Très accueillante et attentive, elle a pris le temps de faire un point complet avec moi et de m'expliquer les traitement qu'elle appliquait au fur et à mesure. Je la recommande vivement !"
BIRRY ALEXANDRA,5 stars,,0,"« Aujourd’hui j’ai eu rendez-vous à 13h15 » ,

Un grand merci au Dr Alexandra BIRRY qui est une dentiste FORMIDABLE : toujours à l’écoute, très rassurante, et extrêmement compétente autrement dit EXCELLENTE .
Je remercie  également la secrétaire très accueillante , souriante et investis .

Je recommande à 1000 pour-cent ! Un sans faute.
Infiniment reconnaissante des soins dentaires que j’ai reçu ( soins excellent aucune douleur ) .
La prise en charge a été impeccable, le Dr a pris le temps de me conseiller et de me rassurer.

Merci à vous de mettre autant de cœur à embellir nos sourires . 🥰"
BIRRY ALEXANDRA,5 stars,,0,"Je recommande vivement Dr Alexandra BIRRY. Son professionnalisme, sa gentillesse et ses précieux conseils sont toujours très appréciables. Aller chez le dentiste est devenu un vrai moment de plaisir !
Je vous remercie à nouveau pour vos soins."
BIRRY ALEXANDRA,5 stars,,0,"Depuis plusieurs années je cherchais un dentiste qui me convenait et qui était en mesure de me soigner correctement et je suis ravie d’avoir enfin trouvé ! En plus d’être très bonne dans son travail, elle et son assistance sont extrêmement gentilles et à l’écoute.

Je recommande vivement et merci encore!"
BIRRY ALEXANDRA,5 stars,,0,"Habituellement j'écris peu de recommandations sur Google. C'était ma 1ère consultation chez le Dr. Alexandra Birry et j'ai été très agréablement surpris. Je souhaite la féliciter / recommander pour son empathie, son écoute, son professionnalisme avec ses conseils avisés et ses explications apportées au cours des soins prodigués ainsi que pour son sourire sous le masque. L'ambiance est très bonne dans ce cabinet, le cadre très propre, le personnel au petit soin dès votre arrivée et le Dr. Birry établit une relation de confiance très rapidement, si bien qu'elle arrive à vous faire oublier que vous êtes chez le dentiste pour des soins... Je reviendrai avec plaisir."
BIRRY ALEXANDRA,5 stars,,0,"Je recommande vivement le Dr Alexandra Birry qui est  une professionnelle parfaite dans ses soins (détartrage, pose de 2 couronnes, traitement de caries), ses conseils avisés et tout ceci en seulement 3 consultations.
J’ai également particulièrement apprécié son empathie, son écoute et sa gentillesse,
Par ailleurs j’en profite pour féliciter le bon accueil et la sympathie de toute l’équipe, il règne au sein du cabinet une très bonne ambiance qui donne envie de revenir pour de prochains soins avec toute confiance."
BIRRY ALEXANDRA,5 stars,,0,Je cherchais un dentiste dans mon quartier et les nombreux avis positifs m’ont convaincus à me rendre chez Dr BIRRY. Je ne peux que remercier l’ensemble des personnes ayant posté ces avis qui m’ont guidé vers ce professionnel de grande qualité. En plus d’un travail remarquable il convient de souligner la très grande bienveillance et la remarquable pédagogie dont elle fait preuve. Des qualités (malheureusement) trop rare de nos jours dans le milieu médical. 5 étoiles amplement méritées !
BIRRY ALEXANDRA,5 stars,,0,"Pour mon 3ème RDV auprès du Dr Birry, je recommande fortement se cabinet dentaire , personnelles  de qualités ,  toujours accueillantes et avec le sourire , mise en confiance absolu.

Pour ceux et celles qui ont peurs des dentistes ne vous inquiétez surtout pas vous seriez bien traité."
BIRRY ALEXANDRA,5 stars,,0,"Les services du Dr Alexandra BIRRY sont très appréciables, toujours avec le sourire, la bonne humeur et avec beaucoup de pédagogie, les horaires sont respectés. Rdv en urgence possible ce qui est toujours salvateur. Le cabinet est facilement accessible. Je recommande vivement."
BIRRY ALEXANDRA,5 stars,,0,"Le docteur Birry est très professionnel.
Super accueil elle m'a tout de suite mis en confiance .
Pour quelle qu'un qui aime pas du tout allé chez le dentiste j'ai été très rassurée.
Merci"
BIRRY ALEXANDRA,5 stars,,0,"Je suis allé au cabinet du Dr Birry il y a un mois pour un remplissage, et le traitement était excellent! Elle m'a informé que je devais faire encore quelques choses, mais je n'avais pas assez d'argent ce mois-là et nous avons accepté de faire le reste lors de ma prochaine visite. Elle était très gentil et a tout expliqué parfaitement. C'était ma première visite chez le dentiste depuis que j'habite à Strasbourg, et son cabinet n'est pas près de chez moi, mais j'y retournerai c'est sûr! Tout le personnel de la clinique est super! Je le recommande à 100% ^_^"
BIRRY ALEXANDRA,5 stars,,0,"Je recommande grandement le docteur Birry. J'étais vraiment stressé pour mon rendez-vous, elle m'a mis parfaitement à l'aise. Elle s'est occupé de moi et à fait preuve de beaucoup d'empathie, elle m'a expliqué tout de A à Z. Elle a aussi été très patiente avec moi durant toute la procédure, j'ai beaucoup apprécier sa gentillesse. Toutes l'équipe est très chaleureuse et accueillante. Encore merci pour tout."
BIRRY ALEXANDRA,5 stars,,0,"Je suis aller chez le Dr Birry pour une urgence car mon dentiste habituel n'avais pas de place rapidement ! J'ai était super bien accueillie que ce soit par les secrétaires et par le Dr Birry. Elle est douce et très professionnelle, explique chaque geste qu'elle effectue! J'y retournerai."
BIRRY ALEXANDRA,5 stars,,0,"Dentiste très gentille, douce, à l’écoute et extrêmement compétente.
Je recommande sans problème si vous chercher un dentiste sur Strasbourg !"
BIRRY ALEXANDRA,5 stars,,0,"Je recommande vivement ce centre et notamment Dr Alexandra BIRRY très professionnelle, compétente, et humaine. Toujours à l'écoute. Avec de très bons conseils. Le centre est propre et facile d'accès.
Même si le dentiste n'est pas un endroit où l'on aime se rendre, je reviendrai avec plaisir et sans crainte :D"
BIRRY ALEXANDRA,5 stars,,0,"Ce n’est pas dans mes habitudes mais la je recommande beaucoup le Dr Birry et son assistante très gentille et agréable , le dentiste c’est clairement ma phobie mais ça c’est très bien passé elle m’expliquait  tout et prenait le temps avec moi puis la prise de rendez-vous est rapide ."
BIRRY ALEXANDRA,5 stars,,0,"Excellente praticienne très compétente et efficace, accueil très chaleureux, elle m’a bien soigné  ma dent dès le premier rendez-vous en plus elle m’a fait  un très bon détartrage
Vraiment très satisfait, Merci beaucoup"
BIRRY ALEXANDRA,5 stars,,0,"Je recommande les yeux fermer j'ai trouver une dentiste douce a l'écoute du patients . Elle  s'adapte au moyen de chacun . Qui souhaite sauver tes dents un maximum enfin une dentiste qui pence a nos dents est pas a s'enrichir . Etant pourtant une grosse flipper du dentiste . Avec le docteur BIRRY je vous confirme que de vous même vous irais faire un contrôle sans attendre les douleurs  .
HAMMANN GWENDOLINE"
BIRRY ALEXANDRA,5 stars,,0,"Une excellente Dr, j'étais bien rassurée. Moi qui a toujours peur des Dr mais Dr ALEXANDRA BIRRY m'a totalement rassurée. Elle est compétente, professionnelle, très gentille, à l'écoute. Je vous la recommande fortement."
BIRRY ALEXANDRA,5 stars,,0,"Le Dr Birry est vraiment super, douce, à l’écoute, rassurante et explique toutes les démarches qu’elle va effectuer pendant le soin.
Je me suis fais enlever les dents de sagesses sans douleurs, je recommande !"
BIRRY ALEXANDRA,5 stars,,0,Docteur Berry prend le temps d’expliquer chaque geste avec une grande gentillesse et empathie. J’ai été très bien accueilli et mise en confiance. Je recommande vivement !
BIRRY ALEXANDRA,5 stars,,0,"A l'écoute, pédagogue, drôle et gentille !
Presque un plaisir d'aller chez le dentiste, moi qui n'aime pas ça d'habitude.
Je recommande !"
BIRRY ALEXANDRA,5 stars,,0,"Excellent accueil de la part l’assistante dentaire et de la dentiste, elle forme un chouette duo, ça faisait un petit moment que je n’étais pas chez le dentiste et je suis bien content d’y retourner 🙂
Je recommande les yeux fermés …"
BIRRY ALEXANDRA,5 stars,,0,"Très bon accueil et prise en charge de mon problème dentaire. Je recommande vivement le Dr Birry qui est gentille, douce, efficace et à l’écoute de ses patients."
BIRRY ALEXANDRA,5 stars,,0,"Très bonne expérience, Dr Birry m'a bien expliqué les soins qu'elle réalisait tout en les faisant. Le tout avec une bonne humeur qui aide grandement à être à l'aise."
BIRRY ALEXANDRA,5 stars,,0,"Super dentiste et assistante, très bienveillantes et minutieuses, je recommande"
BIRRY ALEXANDRA,5 stars,,0,Parfait ! Le Dr Birry et son assistante ont été très chaleureuses et sympathiques. Tout est expliqué et fait avec douceur.
BIRRY ALEXANDRA,5 stars,,0,"Très bon contact
Dr Birry s'est montrée très accueillante et gentille. Elle prend bien le temps d'expliquer et de donner des conseils. Très professionnelle"
BIRRY ALEXANDRA,5 stars,,0,contente de rencontrer un dentiste comme celle ci souriante et met a laise je suis aller pour une dent elle ma fait plusieurs dent que tout les dentistes ne le font pas..malgre que jetai stresser sa cest bien passer..
BIRRY ALEXANDRA,5 stars,,0,"Très agréable, très souriante, très pro. Si vous cherchez une dentiste, c'est là qu'il faut aller."
BIRRY ALEXANDRA,5 stars,,0,"Très bon accueil et 2 personnes très sympathique .
Rendez-vous pour ma fille de 5 ans et tout c'est très bien passé .
Je recommande vivement ."
BIRRY ALEXANDRA,5 stars,,0,"Dentiste très accueillante et à l’écoute, la consultation s’est très bien passée. Je recommande vivement!"
BIRRY ALEXANDRA,5 stars,,0,Dr. Birry est très gentille et professionnelle qui parle anglais très bien.
BIRRY ALEXANDRA,5 stars,,0,Le docteur birry a été très chaleureuse et m’a mis à l’aise alors que j’ai très peur du dentiste !
BIRRY ALEXANDRA,5 stars,,0,"J'ai  eu la chance de trouver dr Birry qui est très compétente, douce et qui explique patiemment tout les démarches.
Je la recommande vivement !"
BIRRY ALEXANDRA,1 star,,0,"j'ai malheureusement dû annuler deux rdv car covid oblige + maladie
professionnelle pas compréhensible c'est bien dommage"
BIRRY ALEXANDRA,5 stars,,0,"Dentiste douce, rigoureuse et à l'écoute. Excellent travail (et pourtant je déteste aller chez le dentiste)!"
BIRRY ALEXANDRA,5 stars,,0,Très douce et gentille avec les enfants
BIRRY ALEXANDRA,5 stars,,0,"Très professionnelle et agréable, je recommande !"
BIRRY ALEXANDRA,5 stars,,0,Dentiste sympathique et très professionnel
BIRRY ALEXANDRA,5 stars,,0,So cute and fast
BIRRY ALEXANDRA,5 stars,,0,Thank you for the warm welcome and humane attitude. I will write to you next time. I recommend
BIRRY ALEXANDRA,5 stars,,0,
BIRRY ALEXANDRA,5 stars,,0,
BIRRY ALEXANDRA,5 stars,,0,
BIRRY ALEXANDRA,5 stars,,0,
BIRRY ALEXANDRA,5 stars,,0,
TRUMPFF ALAN,5 stars,,1,"Dr Alan Trumpff est très professionnel. Il explique tout ce qu'il fait. Un travail soigné, à l'écoute et surtout avec tendresse. Pour avoir testé d'autres dentistes, je recommande sans hésitation !"
TRUMPFF ALAN,1 star,,0,Rdv obtenu par téléphone avec un rappel la veille par message. Je m'y rends donc le jour J pour découvrir que le cabinet est fermé jusqu'à 14h. Mon rdv était planifié à 13h30. Erreur humaine ? Sûrement. Cela arrive. Mais me déplacer et attendre pour rien ne fut pas le meilleur moment de ma journée...
TRUMPFF ALAN,5 stars,,0,Bonjour voilà je vais régulièrement au dentiste et franchement le personnel à l’accueil et super accueillant ainsi. Et le dentiste parfait pour ma part ras j’ai mis 5 étoiles car travaille soignée propre efficace je le recommande à 1000000000000 %
TRUMPFF ALAN,5 stars,,0,Je recommande fortement moi qui avait la crainte d’aller chez le dentiste Lucile a su vraiment me rassurer et commencer à faire mes soin sans douleur je recommande sincèrement et la dame au secrétariat aussi vraiment très très gentille
TRUMPFF ALAN,5 stars,,0,"Pour ma part très bon dentiste rien a dire il m'a extre dent de sagesse s'en douleur.
Je recommande"
TRUMPFF ALAN,5 stars,,0,"Un bon cabinet dentaire conventionné. La secrétaire est gentille et accueillante, tout comme le Dr. Trumpff qui est vraiment gentil et qui explique ce qu'il fait.
J'ai pu prendre un RDV en seulement 3 semaines avec une plage horaire large pour une suspicion de caries mais finalement il se trouvait que c'était que des taches noires sur mes dents et j'ai donc fait qu'un détartrage vraiment rapide!
Je ne peux que recommander et désormais je me dirigerai vers eux pour les futurs consultations. 😀👌🏻"
TRUMPFF ALAN,5 stars,,0,"Très bon dentiste, Dr Dienon est très professionnel, bon accueil, explications claires à chaque étape de la prise en charge, également  très patient avec les enfants. Les délais de RDV sont corrects.
Je recommande vivement. Très bon cabinet dentaire."
TRUMPFF ALAN,5 stars,,0,"Très bon accueil, secrétaire souriante et très gentille. Il en est de même pour Dr. Dienon, très gentil et très professionnel. Je recommande ce cabinet sans aucune hésitation."
TRUMPFF ALAN,5 stars,,0,très bon dentiste je reviendrais avec plaisir
TRUMPFF ALAN,4 stars,,0,Moi je me sui présente partit de rien mes dents été abîmé mes il a su me redonne le sourire que javait perdu mes que j'ai retrouvé grasse à meusieu  trumpff  moi je le remercie lui ses sons équipe vraiment même il et a l'écoute il ne juge pas.merci à l'équipe de familles tahar
TRUMPFF ALAN,5 stars,,0,Trés bon dentiste Julien Dienon ! Je recommande vraiment
TRUMPFF ALAN,5 stars,,0,"Dentiste professionnel, sympathique.
Je recommande"
TRUMPFF ALAN,5 stars,,0,Very good dentists!!!!!!!!
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,4 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,5 stars,,0,
TRUMPFF ALAN,4 stars,,0,
TRUMPFF ALAN,5 stars,,0,
CHAIEB LOQMAN,5 stars,,0,"Très bonne expérience, Accueillant, professionnel et compétent. Merci au Docteur Chaieb et à son équipe. Je recommande sans hésitation !"
CHAIEB LOQMAN,5 stars,,0,Le seul dentiste qui vous fera aimer aller chez le dentiste. Je recommande fortement sans hésitation.
CHAIEB LOQMAN,5 stars,,0,Je recommande à 100 % ! Un dentiste très professionnel et surtout très à l’écoute.
CHAIEB LOQMAN,5 stars,,0,Dentiste au professionnalisme incomparable et à l’écoute du patient ! Toujours au top ! Je recommande vivement !
CHAIEB LOQMAN,5 stars,,0,"Super dentiste, qui ne fais pas mal . Allez y les yeux fermée. Top du top"
CHAIEB LOQMAN,5 stars,,0,"Super praticien, très à l’écoute!"
CHAIEB LOQMAN,5 stars,,0,"J’avais super mal à la dent donc j’ai appelé plusieurs cabinets ,Malheureusement personne n’a pu me prendre en urgence, je suis tombé sur ce cabinet par hasards est super satisfait de ce dentiste qui restera mon dentiste permanent  je le recommande fortement"
